City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Wewak,PG,86.09,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
534,Jaffna,LK,81.7,broken clouds,9.6685,80.0074,Green Grass Hotel & Restaurant
536,Nouakchott,MR,78.73,overcast clouds,18.0858,-15.9785,HOTEL IMAN
540,Kendari,ID,86.43,broken clouds,-3.945,122.4989,Hotel Wixel
546,Itoman,JP,75.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
547,Harper,LR,78.33,light rain,4.375,-7.7169,Screensaver
553,Ratnagiri,IN,79.11,scattered clouds,16.9833,73.3,Hotel Landmark
557,Manuk Mangkaw,PH,83.8,few clouds,4.8,119.85,
561,Santa Fe,AR,75.97,light rain,-31.6333,-60.7,Conquistador Hotel
562,Doha,QA,75.18,clear sky,25.2867,51.5333,Movenpick Hotel Doha
567,Port Moresby,PG,86.5,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
578,Waingapu,ID,86.94,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
585,Puerto Carreno,CO,76.24,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
586,Thap Than,TH,84.13,clear sky,15.4606,99.8917,ขวัญเรือน ขำสุข
587,Cururupu,BR,76.66,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
588,Saint-Leu,RE,77.83,few clouds,-21.15,55.2833,La Caz Oceane
589,Morondava,MG,79.72,few clouds,-20.2833,44.2833,La Case Bambou
590,Sokolo,ML,77.94,broken clouds,14.7328,-6.1219,
596,Braganca,BR,76.32,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
597,Kalamnuri,IN,76.69,scattered clouds,19.6667,77.3333,खंडोबा राव शेषराव गडदे
602,Edd,ER,80.46,broken clouds,13.9297,41.6925,
604,Puerto Suarez,BO,78.78,broken clouds,-18.95,-57.8,Hotel casa real
614,Puerto Escondido,MX,79.11,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
625,Biak,ID,85.62,broken clouds,-0.9131,122.8766,Penginapan Kim
627,Lagos,NG,77.31,light rain,6.5833,3.75,
631,Meulaboh,ID,81.79,overcast clouds,4.1363,96.1285,Kost Pria
649,Queimadas,BR,77.99,overcast clouds,-10.9783,-39.6264,Hotel Mandala
658,Tarakan,ID,87.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
667,Sumenep,ID,86.68,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
670,Tabou,CI,78.1,light rain,4.423,-7.3528,hotêl doufoulougou
671,Aboisso,CI,76.42,light rain,5.4678,-3.2071,Residence Belle Vue
675,Kudahuvadhoo,MV,82.06,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
676,Corowa,AU,79.41,clear sky,-36.0333,146.3833,Statesman Motor Inn
677,Kavaratti,IN,80.6,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
685,San Francisco Del Mar,MX,79.2,clear sky,16.2333,-94.65,
687,Neuquen,AR,75.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
